solver,penalty,multi_class,max_iter,C,l1_ratio,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,roc_auc,matthews_corrcoef,Cust_metric,F1_class_2_macro,F1_class_2_weighted,F1_class_2_micro
saga,none,ovr,100000,0.1,,0.6450047554437465,0.564012668697681,0.6450047554437465,0.6262841607833207,0.4377057255200328,0.6450047554437465,0.6450047554437465,0.43779853492731746,0.6450047554437465,0.6218747838940631,0.8330411706991327,0.4254795713592707,0.15217139051550146,0.008229197362878436,0.008229197362878436,0.008229197362878436
lbfgs,none,multinomial,100000,0.01,,0.6485129548153594,0.5593608205807706,0.6485129548153594,0.6311669708329257,0.45371733745215587,0.6485129548153594,0.6485129548153594,0.45897647283328397,0.6485129548153594,0.6306493097721143,0.836285057848781,0.4343033548201292,0.19299672440790058,0.048607164800459644,0.048607164800459644,0.048607164800459644
newton-cg,l2,multinomial,100000,0.01,,0.6473470563242388,0.5703590447954406,0.6473470563242388,0.6304859747150303,0.4467240421379754,0.6473470563242388,0.6473470563242388,0.4481119809930931,0.6473470563242388,0.6277131011312119,0.8341257170122495,0.431366787522824,0.16969616848114155,0.015920555468099864,0.015920555468099864,0.015920555468099864
saga,none,multinomial,10000,0.001,,0.6484998252528363,0.5594238391728502,0.6484998252528363,0.631160761377596,0.4537227790010168,0.6484998252528363,0.6484998252528363,0.45900548436253724,0.6484998252528363,0.6306356619147727,0.8362790935770583,0.43427899826912914,0.19309211638118176,0.04878903978939254,0.04878903978939254,0.04878903978939254
lbfgs,l2,ovr,100000,0.001,,0.631827995132122,0.44735665393511564,0.631827995132122,0.6013002477376284,0.41921740466196983,0.631827995132122,0.631827995132122,0.4161846390031028,0.631827995132122,0.6029030758665516,0.8168761599316857,0.40134373759567027,0.1262720490038783,0.0,0.0,0.0
lbfgs,none,multinomial,100000,10,,0.6485129548153594,0.5593608205807706,0.6485129548153594,0.6311669708329257,0.45371733745215587,0.6485129548153594,0.6485129548153594,0.45897647283328397,0.6485129548153594,0.6306493097721143,0.836285057848781,0.4343033548201292,0.19299672440790058,0.048607164800459644,0.048607164800459644,0.048607164800459644
lbfgs,l2,ovr,10000,0.01,,0.6426519509339218,0.4532953349380273,0.6426519509339218,0.6122400789100751,0.43296758749897385,0.6426519509339218,0.6426519509339218,0.43162927460940065,0.6426519509339218,0.6179593360100878,0.830356491546541,0.42099306999811636,0.14246007098867156,0.0,0.0,0.0
saga,l1,ovr,1000,0.01,,0.6412575985513675,0.45297843120263215,0.6412575985513675,0.6106652480546609,0.42998830428660545,0.6412575985513675,0.6412575985513675,0.42822469720059414,0.6412575985513675,0.6151072103692404,0.8261540182478909,0.4182181282931006,0.13819498497443083,0.0,0.0,0.0
sag,none,ovr,10000,10,,0.644994251793728,0.5628842943843998,0.644994251793728,0.6261598302334934,0.4376990269410032,0.644994251793728,0.644994251793728,0.43779258499594925,0.644994251793728,0.6218646615334206,0.8330358718233932,0.42546288666461374,0.15217241760350905,0.00822805267444064,0.00822805267444064,0.00822805267444064
saga,l2,ovr,1000,1,,0.6449075972396008,0.5722386925658604,0.6449075972396008,0.6270286819894172,0.4375429550100402,0.6449075972396008,0.6449075972396008,0.43757601290477055,0.6449075972396008,0.6217348092006115,0.833108222118654,0.4252984338054488,0.15182135935294763,0.007836419550060827,0.007836419550060827,0.007836419550060827
saga,elasticnet,ovr,10000,0.01,1.0,0.6412575985513675,0.45297843120263215,0.6412575985513675,0.6106652480546609,0.42998830428660545,0.6412575985513675,0.6412575985513675,0.42822469720059414,0.6412575985513675,0.6151072103692404,0.8261540182478909,0.4182181282931006,0.13819498497443083,0.0,0.0,0.0
saga,elasticnet,ovr,1000,0.01,1.0,0.6412575985513675,0.45297843120263215,0.6412575985513675,0.6106652480546609,0.42998830428660545,0.6412575985513675,0.6412575985513675,0.42822469720059414,0.6412575985513675,0.6151072103692404,0.8261540182478909,0.4182181282931006,0.13819498497443083,0.0,0.0,0.0
saga,elasticnet,multinomial,100000,10,1.0,0.6484551850091774,0.5597725523524826,0.6484551850091774,0.6311463376844911,0.45362757140917065,0.6484551850091774,0.6484551850091774,0.4588701658570212,0.6484551850091774,0.6305757118943366,0.8362910634772871,0.43419535982501106,0.19283898579431638,0.04844056467185417,0.04844056467185417,0.04844056467185417
newton-cg,l2,ovr,10000,1,,0.6449181008275608,0.5722477591126186,0.6449181008275608,0.6270394836406815,0.43755176054799055,0.6449181008275608,0.6449181008275608,0.4375850317867262,0.6449181008275608,0.6217451030818286,0.8331077988163053,0.42531664117840345,0.15182838222128814,0.007836419550060827,0.007836419550060827,0.007836419550060827
saga,elasticnet,multinomial,100000,0.001,1.0,0.627723715525086,0.4486058248780654,0.627723715525086,0.5982825960900906,0.4122397043139509,0.627723715525086,0.627723715525086,0.40758079000281916,0.627723715525086,0.5953289762204769,0.802174023815326,0.39318053388110813,0.11623763408153777,0.0,0.0,0.0
lbfgs,none,ovr,100000,1,,0.6449811223139496,0.5628759643426305,0.6449811223139496,0.6261458010107092,0.43768317773882237,0.6449811223139496,0.6449811223139496,0.43777593304656076,0.6449811223139496,0.6218478217268807,0.8330333143026003,0.42543900226974046,0.15215613140694276,0.00822805267444064,0.00822805267444064,0.00822805267444064
liblinear,l1,ovr,1000,10,,0.6449732448453549,0.5639664849054512,0.6449732448453549,0.6262404826155561,0.437666518423615,0.6449732448453549,0.6449732448453549,0.43775115803322767,0.6449732448453549,0.6218307437128064,0.8330481958636216,0.4254287523667542,0.1521196948347568,0.008229197362878436,0.008229197362878436,0.008229197362878436
lbfgs,l2,multinomial,10000,0.1,,0.6484761915231428,0.5615382872667295,0.6484761915231428,0.6311865719695221,0.4521732349569018,0.6484761915231428,0.6484761915231428,0.45647688898073574,0.6484761915231428,0.630223322162178,0.8362096507920987,0.433995545333385,0.18724441178265436,0.04012096735261966,0.040120967352619656,0.04012096735261966
sag,l2,multinomial,100000,0.1,,0.6484604360274292,0.5611015033794572,0.6484604360274292,0.6311318690699904,0.4521701487778021,0.6484604360274292,0.6484604360274292,0.45647481149601427,0.6484604360274292,0.6302070812723248,0.8362110663877221,0.4339727443839967,0.18726537011006664,0.04011334979714598,0.040113349797145974,0.04011334979714598
newton-cg,none,multinomial,100000,0.01,,0.6485077030317222,0.5589282006201388,0.6485077030317222,0.6311188893277614,0.4537201993037909,0.6485077030317222,0.6485077030317222,0.4590005539278434,0.6485077030317222,0.6306437993761256,0.8362457237933905,0.43429206748817645,0.19306630677503792,0.04877482617689826,0.048774826176898246,0.04877482617689826
saga,l1,ovr,100000,0.001,,0.6211300822617272,0.44293204221891685,0.6211300822617272,0.5905608436034954,0.3993461255191886,0.6211300822617272,0.6211300822617272,0.38883678977464875,0.6211300822617272,0.5812190913628488,0.7911293404475878,0.3807942537288092,0.08994914197644525,0.0,0.0,0.0
lbfgs,l2,multinomial,1000,0.001,,0.6388916627207025,0.45081579935731436,0.6388916627207025,0.6092401197720752,0.4329794078458645,0.6388916627207025,0.6388916627207025,0.4320889985904334,0.6388916627207025,0.6158502432774453,0.8232164737184696,0.4154003479797594,0.14699364114039862,0.0,0.0,0.0
saga,l2,multinomial,100000,10,,0.6484709404221466,0.5594354678854291,0.6484709404221466,0.6311333445419677,0.453652955544718,0.6484709404221466,0.6484709404221466,0.458894646169421,0.6484709404221466,0.630599230533563,0.8362915799705893,0.4342265562278314,0.1928647197335708,0.048431051845817426,0.048431051845817426,0.048431051845817426
saga,elasticnet,multinomial,100000,1,1.0,0.6484814437205016,0.5617652612011305,0.6484814437205016,0.6313292705474582,0.4534764289621352,0.6484814437205016,0.6484814437205016,0.45869908791556613,0.6484814437205016,0.6305312324043183,0.8363315860393262,0.43417850093495614,0.19246597220565417,0.04813140535942443,0.04813140535942443,0.04813140535942443
saga,elasticnet,multinomial,10000,0.001,0.5,0.6293780310528699,0.44608750069417463,0.6293780310528699,0.5991436973574574,0.4178252639538626,0.6293780310528699,0.6293780310528699,0.41504229297974554,0.6293780310528699,0.6009800026816416,0.8086485489322928,0.396922733107049,0.12643164496812984,0.0,0.0,0.0
saga,elasticnet,multinomial,1000,10,0.0,0.6484709404221466,0.5594354678854291,0.6484709404221466,0.6311333445419677,0.453652955544718,0.6484709404221466,0.6484709404221466,0.458894646169421,0.6484709404221466,0.630599230533563,0.8362915799705893,0.4342265562278314,0.1928647197335708,0.048431051845817426,0.048431051845817426,0.048431051845817426
newton-cg,none,multinomial,100000,10,,0.6485077030317222,0.5589282006201388,0.6485077030317222,0.6311188893277614,0.4537201993037909,0.6485077030317222,0.6485077030317222,0.4590005539278434,0.6485077030317222,0.6306437993761256,0.8362457237933905,0.43429206748817645,0.19306630677503792,0.04877482617689826,0.048774826176898246,0.04877482617689826
saga,elasticnet,multinomial,10000,1,1.0,0.6484814437205016,0.5617652612011305,0.6484814437205016,0.6313292705474582,0.4534764289621352,0.6484814437205016,0.6484814437205016,0.45869908791556613,0.6484814437205016,0.6305312324043183,0.8363315860393262,0.43417850093495614,0.19246597220565417,0.04813140535942443,0.04813140535942443,0.04813140535942443
saga,elasticnet,multinomial,1000,0.001,0.5,0.6293780310528699,0.44608750069417463,0.6293780310528699,0.5991436973574574,0.4178252639538626,0.6293780310528699,0.6293780310528699,0.41504229297974554,0.6293780310528699,0.6009800026816416,0.8086485489322928,0.396922733107049,0.12643164496812984,0.0,0.0,0.0
lbfgs,none,ovr,1000,10,,0.6449811223139496,0.5628759643426305,0.6449811223139496,0.6261458010107092,0.43768317773882237,0.6449811223139496,0.6449811223139496,0.43777593304656076,0.6449811223139496,0.6218478217268807,0.8330333143026003,0.42543900226974046,0.15215613140694276,0.00822805267444064,0.00822805267444064,0.00822805267444064
newton-cg,none,ovr,1000,0.01,,0.6449968776855466,0.5628857333463629,0.6449968776855466,0.6261619605285339,0.4377004451974669,0.6449968776855466,0.6449968776855466,0.43779370063538164,0.6449968776855466,0.6218665225685934,0.8330239674281789,0.42546755640897876,0.15217249325066737,0.00822805267444064,0.00822805267444064,0.00822805267444064
sag,none,ovr,100000,1,,0.644994251793728,0.5628842943843998,0.644994251793728,0.6261598302334934,0.4376990269410032,0.644994251793728,0.644994251793728,0.43779258499594925,0.644994251793728,0.6218646615334206,0.8330358718233932,0.42546288666461374,0.15217241760350905,0.00822805267444064,0.00822805267444064,0.00822805267444064
newton-cg,l2,multinomial,100000,0.001,,0.6389179216802598,0.45084519001977147,0.6389179216802598,0.6092693704980731,0.43300062509673803,0.6389179216802598,0.6389179216802598,0.43211233928473547,0.6389179216802598,0.6158766132172836,0.8232158411814371,0.41544350984617107,0.14701221039096377,0.0,0.0,0.0
newton-cg,l2,multinomial,1000,0.01,,0.6473470563242388,0.5703590447954406,0.6473470563242388,0.6304859747150303,0.4467240421379754,0.6473470563242388,0.6473470563242388,0.4481119809930931,0.6473470563242388,0.6277131011312119,0.8341257170122495,0.431366787522824,0.16969616848114155,0.015920555468099864,0.015920555468099864,0.015920555468099864
sag,none,multinomial,1000,0.01,,0.6484998252942086,0.5589236203957302,0.6484998252942086,0.6311112279388896,0.45371517518803534,0.6484998252942086,0.6484998252942086,0.45899541850233977,0.6484998252942086,0.6306354658269635,0.8362732056756474,0.43427952267885434,0.19306630677503792,0.04877482617689826,0.048774826176898246,0.04877482617689826
saga,l2,ovr,100000,10,,0.6449916259225957,0.564004868004126,0.6449916259225957,0.6262710715126,0.4376969670922443,0.6449916259225957,0.6449916259225957,0.43778921369693263,0.6449916259225957,0.621859922136813,0.833064343836487,0.42545895836688796,0.15217144650241823,0.008229197362878436,0.008229197362878436,0.008229197362878436
lbfgs,l2,multinomial,10000,0.001,,0.6388916627207025,0.45081579935731436,0.6388916627207025,0.6092401197720752,0.4329794078458645,0.6388916627207025,0.6388916627207025,0.4320889985904334,0.6388916627207025,0.6158502432774453,0.8232164737184696,0.4154003479797594,0.14699364114039862,0.0,0.0,0.0
lbfgs,l2,multinomial,1000,0.1,,0.6484761915231428,0.5615382872667295,0.6484761915231428,0.6311865719695221,0.4521732349569018,0.6484761915231428,0.6484761915231428,0.45647688898073574,0.6484761915231428,0.630223322162178,0.8362096507920987,0.433995545333385,0.18724441178265436,0.04012096735261966,0.040120967352619656,0.04012096735261966
saga,none,multinomial,1000,0.1,,0.6484945734691993,0.5594187507311325,0.6484945734691993,0.6311555581192161,0.45371955793589613,0.6484945734691993,0.6484945734691993,0.45900189142307224,0.6484945734691993,0.6306307967486381,0.8362815175166723,0.43427086357984956,0.19309049065747566,0.04878903978939254,0.04878903978939254,0.04878903978939254
saga,none,multinomial,10000,10,,0.6484998252528363,0.5594238391728502,0.6484998252528363,0.631160761377596,0.4537227790010168,0.6484998252528363,0.6484998252528363,0.45900548436253724,0.6484998252528363,0.6306356619147727,0.8362790935770583,0.43427899826912914,0.19309211638118176,0.04878903978939254,0.04878903978939254,0.04878903978939254
sag,none,ovr,100000,0.1,,0.644994251793728,0.5628842943843998,0.644994251793728,0.6261598302334934,0.4376990269410032,0.644994251793728,0.644994251793728,0.43779258499594925,0.644994251793728,0.6218646615334206,0.8330358718233932,0.42546288666461374,0.15217241760350905,0.00822805267444064,0.00822805267444064,0.00822805267444064
sag,none,multinomial,1000,0.1,,0.6484998252942086,0.5589236203957302,0.6484998252942086,0.6311112279388896,0.45371517518803534,0.6484998252942086,0.6484998252942086,0.45899541850233977,0.6484998252942086,0.6306354658269635,0.8362732056756474,0.43427952267885434,0.19306630677503792,0.04877482617689826,0.048774826176898246,0.04877482617689826
saga,elasticnet,multinomial,1000,0.001,0.0,0.6389152957677552,0.45083472174728006,0.6389152957677552,0.6092636771585166,0.4329964588803721,0.6389152957677552,0.6389152957677552,0.4321065785878957,0.6389152957677552,0.6158736241011228,0.8232157590927264,0.4154394062006677,0.14700213133817752,0.0,0.0,0.0
sag,l2,ovr,100000,0.1,,0.644715906495581,0.5552124105738486,0.644715906495581,0.6250117023084945,0.43668538324507084,0.644715906495581,0.644715906495581,0.43622882507652355,0.644715906495581,0.6212874068073173,0.8329543632247617,0.42488181886378146,0.14906216533092284,0.004433454314722683,0.004433454314722683,0.004433454314722683
sag,l2,ovr,10000,1,,0.6449128490439239,0.5722446895126263,0.6449128490439239,0.6270346199014943,0.4375485394828698,0.6449128490439239,0.6449128490439239,0.4375819872342554,0.6449128490439239,0.6217402168706618,0.8331080218931884,0.4253078395605203,0.15182838222128814,0.007836419550060827,0.007836419550060827,0.007836419550060827
saga,none,multinomial,1000,0.001,,0.6484945734691993,0.5594187507311325,0.6484945734691993,0.6311555581192161,0.45371955793589613,0.6484945734691993,0.6484945734691993,0.45900189142307224,0.6484945734691993,0.6306307967486381,0.8362815175166723,0.43427086357984956,0.19309049065747566,0.04878903978939254,0.04878903978939254,0.04878903978939254
newton-cg,none,ovr,1000,0.001,,0.6449968776855466,0.5628857333463629,0.6449968776855466,0.6261619605285339,0.4377004451974669,0.6449968776855466,0.6449968776855466,0.43779370063538164,0.6449968776855466,0.6218665225685934,0.8330239674281789,0.42546755640897876,0.15217249325066737,0.00822805267444064,0.00822805267444064,0.00822805267444064
lbfgs,none,ovr,100000,0.01,,0.6449811223139496,0.5628759643426305,0.6449811223139496,0.6261458010107092,0.43768317773882237,0.6449811223139496,0.6449811223139496,0.43777593304656076,0.6449811223139496,0.6218478217268807,0.8330333143026003,0.42543900226974046,0.15215613140694276,0.00822805267444064,0.00822805267444064,0.00822805267444064
sag,l2,multinomial,1000,0.01,,0.6473706894333499,0.5703849091391806,0.6473706894333499,0.6305117688445324,0.446743712921622,0.6473706894333499,0.6473706894333499,0.44813344024885876,0.6473706894333499,0.6277367755786698,0.8341256616406817,0.4314052800392629,0.16971388607131013,0.015920555468099864,0.015920555468099864,0.015920555468099864
saga,none,ovr,10000,0.01,,0.6450047554437465,0.564012668697681,0.6450047554437465,0.6262841607833207,0.4377057255200328,0.6450047554437465,0.6450047554437465,0.43779853492731746,0.6450047554437465,0.6218747838940631,0.8330411706991327,0.4254795713592707,0.15217139051550146,0.008229197362878436,0.008229197362878436,0.008229197362878436
